Count,Acres,PROTECTED,BpS_Name_105
63732,"14,149",NO,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
49653,"11,023",YES,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
32980,"7,322",YES,Laurentian-Acadian Northern Hardwoods Forest
21911,"4,864",YES,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
12927,"2,870",YES,Acadian-Appalachian Montane Spruce-Fir Forest
12667,"2,812",NO,Laurentian-Acadian Northern Hardwoods Forest
12372,"2,747",NO,Laurentian-Acadian Swamp Systems
9942,"2,207",NO,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
9411,"2,089",YES,Boreal Acidic Peatland Systems
9153,"2,032",NO,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
8912,"1,978",YES,Laurentian-Acadian Swamp Systems
7965,"1,768",YES,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
7551,"1,676",YES,Boreal Jack Pine-Black Spruce Forest
5082,"1,128",NO,Boreal Acidic Peatland Systems
4212,935,YES,Central Appalachian Dry Oak-Pine Forest
3828,850,YES,Laurentian-Acadian Swamp Systems
3765,836,NO,Laurentian-Acadian Northern Hardwoods Forest
3747,832,YES,Appalachian (Hemlock-)Northern Hardwood Forest
2999,666,YES,Laurentian-Acadian Northern Hardwoods Forest
2983,662,YES,Laurentian-Acadian Northern Hardwoods Forest
2740,608,YES,Appalachian (Hemlock-)Northern Hardwood Forest
2669,593,NO,Barren-Rock/Sand/Clay
2473,549,NO,Central Appalachian Dry Oak-Pine Forest
2470,548,YES,Laurentian-Acadian Northern Hardwoods Forest
2088,464,YES,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
2070,460,YES,Central Appalachian Dry Oak-Pine Forest
2063,458,YES,Northern Atlantic Coastal Plain Hardwood Forest
2033,451,YES,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
2021,449,NO,Laurentian-Acadian Northern Hardwoods Forest
1838,408,YES,Northern Atlantic Coastal Plain Hardwood Forest
1837,408,YES,Appalachian (Hemlock-)Northern Hardwood Forest
1793,398,YES,Laurentian-Acadian Northern Hardwoods Forest
1630,362,YES,Appalachian (Hemlock-)Northern Hardwood Forest
1575,350,YES,Central Appalachian Dry Oak-Pine Forest
1516,337,YES,Laurentian-Acadian Northern Hardwoods Forest
1516,337,YES,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
1492,331,YES,Laurentian-Acadian Northern Hardwoods Forest
1481,329,NO,Central Appalachian Dry Oak-Pine Forest
1461,324,NO,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1442,320,YES,Laurentian-Acadian Northern Hardwoods Forest
1418,315,YES,Laurentian-Acadian Swamp Systems
1394,309,YES,Laurentian-Acadian Northern Hardwoods Forest
1362,302,NO,Boreal Acidic Peatland Systems
1306,290,YES,Appalachian (Hemlock-)Northern Hardwood Forest
1287,286,YES,Laurentian-Acadian Northern Hardwoods Forest
1266,281,YES,Central Appalachian Dry Oak-Pine Forest
1262,280,YES,Appalachian (Hemlock-)Northern Hardwood Forest
1251,278,NO,Laurentian-Acadian Northern Hardwoods Forest
1191,264,YES,Central Interior and Appalachian Swamp Systems
1182,262,YES,Laurentian-Acadian Northern Hardwoods Forest
1174,261,YES,Laurentian-Acadian Northern Hardwoods Forest
1159,257,YES,Laurentian-Acadian Northern Hardwoods Forest
1144,254,YES,Central Appalachian Dry Oak-Pine Forest
1141,253,YES,Laurentian-Acadian Northern Hardwoods Forest
1132,251,YES,Central Appalachian Dry Oak-Pine Forest
1131,251,YES,Central Appalachian Dry Oak-Pine Forest
1107,246,YES,Appalachian (Hemlock-)Northern Hardwood Forest
1098,244,YES,Laurentian-Acadian Northern Hardwoods Forest
1092,242,YES,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
1091,242,YES,Laurentian-Acadian Northern Pine(-Oak) Forest
1086,241,YES,Laurentian-Acadian Northern Pine(-Oak) Forest
1081,240,YES,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1055,234,YES,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1047,232,YES,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
1044,232,NO,Laurentian-Acadian Swamp Systems
1041,231,YES,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
1013,225,YES,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
909,202,YES,Central Appalachian Dry Oak-Pine Forest
890,198,YES,Northeastern Interior Pine Barrens
883,196,YES,Laurentian-Acadian Northern Hardwoods Forest
883,196,YES,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
865,192,YES,Laurentian-Acadian Northern Pine(-Oak) Forest
855,190,NO,Laurentian-Acadian Northern Hardwoods Forest
851,189,YES,Laurentian-Acadian Northern Hardwoods Forest
850,189,NO,Laurentian-Acadian Northern Hardwoods Forest
848,188,YES,Laurentian-Acadian Northern Hardwoods Forest
846,188,YES,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
830,184,NO,Laurentian-Acadian Northern Hardwoods Forest
829,184,YES,Laurentian-Acadian Northern Hardwoods Forest
826,183,YES,Laurentian-Acadian Northern Hardwoods Forest
825,183,YES,Central Appalachian Dry Oak-Pine Forest
813,180,YES,Laurentian-Acadian Northern Hardwoods Forest
809,180,NO,Laurentian-Acadian Northern Hardwoods Forest
807,179,YES,Boreal Acidic Peatland Systems
804,178,NO,Laurentian-Acadian Northern Hardwoods Forest
795,176,YES,Acadian Low-Elevation Spruce-Fir-Hardwood Forest
784,174,NO,Laurentian-Acadian Northern Hardwoods Forest
772,171,YES,Appalachian (Hemlock-)Northern Hardwood Forest
772,171,YES,Laurentian-Acadian Pine-Hemlock-Hardwood Forest
759,168,NO,Central Appalachian Dry Oak-Pine Forest
753,167,YES,Central Appalachian Dry Oak-Pine Forest
750,167,YES,Laurentian-Acadian Shrub-Herbaceous Wetland Systems
748,166,YES,Laurentian-Acadian Northern Hardwoods Forest
746,166,NO,Central Appalachian Dry Oak-Pine Forest
746,166,YES,Laurentian-Acadian Northern Hardwoods Forest
744,165,YES,Central Appalachian Dry Oak-Pine Forest
734,163,YES,Central Appalachian Dry Oak-Pine Forest
733,163,YES,Appalachian (Hemlock-)Northern Hardwood Forest
