BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,GROUPVEG,COUNT,InOrConus
13300,55,5513300,Southern Coastal Plain Dry Upland Hardwood Forest,301,301,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,84830,CONUS
13350,55,5513350,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,301,301,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,2801621,CONUS
13430,55,5513430,Atlantic Coastal Plain Mesic Hardwood Forest,323,323,Beech-Cherrybark Oak-Tulip Tree-3,Hardwood,900300,CONUS
13460,55,5513460,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,315,315,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,3713226,CONUS
13470,55,5513470,Atlantic Coastal Plain Upland Longleaf Pine Woodland,315,315,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,13148279,CONUS
13490,55,5513490,East Gulf Coastal Plain Interior Upland Longleaf Pine Woodland,315,315,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,416,CONUS
13570,55,5513570,Southern Coastal Plain Mesic Slope Forest,323,323,Beech-Cherrybark Oak-Tulip Tree-3,Hardwood,1431285,CONUS
14500,55,5514500,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,397,397,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,643679,CONUS
14540,55,5514540,East Gulf Coastal Plain Near-Coast Pine Flatwoods,397,397,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,34,CONUS
14600,55,5514600,Southern Coastal Plain Nonriverine Cypress Dome,403,403,Pond Cypress-1,Riparian,492,CONUS
14610,55,5514610,Southern Coastal Plain Seepage Swamp and Baygall,404,404,Sweetbay-Swamp Tupelo-Swamp Bay-3,Riparian,73082,CONUS
14680,55,5514680,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,408,408,Pond Pine-Swamp Tupelo-1,Riparian,438533,CONUS
14730,55,5514730,Gulf and Atlantic Coastal Plain Floodplain Systems,418,418,Willow Oak-Water Oak-American Elm-3,Riparian,2606994,CONUS
14740,55,5514740,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,421,421,American Sycamore-Sugarberry-Pine-3,Riparian,1050121,CONUS
14800,55,5514800,Gulf and Atlantic Coastal Plain Swamp Systems,427,427,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,529198,CONUS
14900,55,5514900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,435,435,Saltmeadow Cordgrass-Saltgrass-Gulf Cordgrass-2,Riparian,81595,CONUS
13350,58,5813350,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,301,301,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,1166975,CONUS
13430,58,5813430,Atlantic Coastal Plain Mesic Hardwood Forest,310,310,Beech-White Oak-Southern Sugar Maple-3,Hardwood,5401391,CONUS
