BPS_CODE,ZONE,BPS_MODEL,BPS_NAME,GROUPID,GROUPMODEL,GROUPNAME,GROUPVEG,COUNT,InOrConus
13300,55,5513300,Southern Coastal Plain Dry Upland Hardwood Forest,301,301,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,9,IN
13350,55,5513350,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,301,301,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,253,IN
13430,55,5513430,Atlantic Coastal Plain Mesic Hardwood Forest,323,323,Beech-Cherrybark Oak-Tulip Tree-3,Hardwood,17,IN
13470,55,5513470,Atlantic Coastal Plain Upland Longleaf Pine Woodland,315,315,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,1710,IN
13570,55,5513570,Southern Coastal Plain Mesic Slope Forest,323,323,Beech-Cherrybark Oak-Tulip Tree-3,Hardwood,65,IN
14610,55,5514610,Southern Coastal Plain Seepage Swamp and Baygall,404,404,Sweetbay-Swamp Tupelo-Swamp Bay-3,Riparian,1,IN
14680,55,5514680,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,408,408,Pond Pine-Swamp Tupelo-1,Riparian,64,IN
14730,55,5514730,Gulf and Atlantic Coastal Plain Floodplain Systems,418,418,Willow Oak-Water Oak-American Elm-3,Riparian,887,IN
14740,55,5514740,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,421,421,American Sycamore-Sugarberry-Pine-3,Riparian,16,IN
14800,55,5514800,Gulf and Atlantic Coastal Plain Swamp Systems,427,427,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,67,IN
13350,58,5813350,Atlantic Coastal Plain Dry and Dry-Mesic Oak Forest,301,301,Post Oak-Chinquapin Oak-Shortleaf Pine-1,Hardwood,646,IN
13430,58,5813430,Atlantic Coastal Plain Mesic Hardwood Forest,310,310,Beech-White Oak-Southern Sugar Maple-3,Hardwood,8010,IN
13460,58,5813460,Atlantic Coastal Plain Fall-line Sandhills Longleaf Pine Woodland,315,315,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,26684,IN
13470,58,5813470,Atlantic Coastal Plain Upland Longleaf Pine Woodland,315,315,Longleaf Pine-Pineland Threeawn-Beyrich Threeawn-1,Conifer,13150,IN
13570,58,5813570,Southern Coastal Plain Mesic Slope Forest,323,323,Beech-Cherrybark Oak-Tulip Tree-3,Hardwood,2293,IN
13610,58,5813610,Central Atlantic Coastal Plain Maritime Forest,326,326,Live Oak-Wax Myrtle-3,Hardwood,5742,IN
13820,58,5813820,Southern Atlantic Coastal Plain Maritime Forest,351,351,Longleaf Pine-Honduras Pine-Sand Live Oak-1,Hardwood-Conifer,5264,IN
14490,58,5814490,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,397,397,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,33414,IN
14500,58,5814500,Southern Atlantic Coastal Plain Wet Pine Savanna and Flatwoods,397,397,Longleaf Pine-Slash Pine-Saw Palmetto-1,Riparian,6994,IN
14520,58,5814520,Atlantic Coastal Plain Peatland Pocosin and Canebrake,398,398,Pond Pine-Swamp Titi-Giant Cane-1,Riparian,34930,IN
14590,58,5814590,Atlantic Coastal Plain Clay-Based Carolina Bay Wetland,403,403,Pond Cypress-1,Riparian,2723,IN
14680,58,5814680,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,408,408,Pond Pine-Swamp Tupelo-1,Riparian,1934,IN
14730,58,5814730,Gulf and Atlantic Coastal Plain Floodplain Systems,418,418,Willow Oak-Water Oak-American Elm-3,Riparian,66440,IN
14740,58,5814740,Gulf and Atlantic Coastal Plain Small Stream Riparian Systems,421,421,American Sycamore-Sugarberry-Pine-3,Riparian,14597,IN
14800,58,5814800,Gulf and Atlantic Coastal Plain Swamp Systems,427,427,Bald Cypress-Atlantic White Cedar-Red Maple-5,Riparian,5774,IN
14900,58,5814900,Gulf and Atlantic Coastal Plain Tidal Marsh Systems,435,435,Saltmeadow Cordgrass-Saltgrass-Gulf Cordgrass-2,Riparian,6635,IN
15010,58,5815010,Central Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,444,444,Atlantic White Cedar-4,Riparian,6071,IN
13160,59,5913160,Southern Piedmont Mesic Forest,288,288,Beech-3,Hardwood,530,IN
13510,59,5913510,Southeastern Interior Longleaf Pine Woodland,318,318,Longleaf Pine-Southern Red Oak-Little Bluestem-1,Conifer,120,IN
13680,59,5913680,Southern Piedmont Dry Oak(-Pine) Forest,336,336,White Oak-Southern Red Oak-Shortleaf Pine-1,Hardwood-Conifer,1571,IN
14710,59,5914710,Central Interior and Appalachian Floodplain Systems,414,414,American Sycamore-Silver Maple-3,Riparian,4,IN
14720,59,5914720,Central Interior and Appalachian Riparian Systems,416,416,River Birch-American Sycamore-3,Riparian,206,IN
13090,57,5713090,Southern Appalachian Northern Hardwood Forest,284,284,Sugar Maple-Beech-Yellow Buckeye-5,Hardwood,8067,IN
13150,57,5713150,Southern Appalachian Oak Forest,287,287,Chestnut Oak-White Oak-Chestnut-1,Hardwood,44207,IN
13160,57,5713160,Southern Piedmont Mesic Forest,288,288,Beech-3,Hardwood,284,IN
13170,57,5713170,Allegheny-Cumberland Dry Oak Forest and Woodland,290,290,White Oak-Scarlet Oak-Chestnut-1,Hardwood,31899,IN
13180,57,5713180,Southern and Central Appalachian Cove Forest,291,291,Beech-Basswood-Yellow Buckeye-3,Hardwood,22324,IN
13200,57,5713200,Central and Southern Appalachian Montane Oak Forest,292,292,Red Oak-Chestnut-Black Birch-1,Hardwood,28353,IN
13210,57,5713210,South-Central Interior Mesophytic Forest,293,293,Sugar Maple-Beech-Basswood-3,Hardwood,72,IN
13500,57,5713500,Central and Southern Appalachian Spruce-Fir Forest,317,317,Red Spruce-Fir-Yellow Birch-5,Conifer,1591,IN
13520,57,5713520,Southern Appalachian Montane Pine Forest and Woodland,319,319,Table Mountain Pine-Pitch Pine-1,Conifer,2003,IN
13530,57,5713530,Southern Appalachian Low-Elevation Pine Forest,320,320,Virginia Pine-Shortleaf Pine-1,Conifer,1381,IN
13680,57,5713680,Southern Piedmont Dry Oak(-Pine) Forest,336,336,White Oak-Southern Red Oak-Shortleaf Pine-1,Hardwood-Conifer,1502,IN
13760,57,5713760,Southern Ridge and Valley/Cumberland Dry Calcareous Forest,344,344,Post Oak-White Oak-Eastern Redcedar-1,Hardwood,10719,IN
14140,57,5714140,Southern Appalachian Grass and Shrub Bald,372,372,Catawba Rosebay-Flattened Oatgrass-3,Grassland,155,IN
14710,57,5714710,Central Interior and Appalachian Floodplain Systems,414,414,American Sycamore-Silver Maple-3,Riparian,2195,IN
14720,57,5714720,Central Interior and Appalachian Riparian Systems,416,416,River Birch-American Sycamore-3,Riparian,9539,IN
13160,54,5413160,Southern Piedmont Mesic Forest,288,288,Beech-3,Hardwood,193,IN
13530,54,5413530,Southern Appalachian Low-Elevation Pine Forest,320,320,Virginia Pine-Shortleaf Pine-1,Conifer,2,IN
13680,54,5413680,Southern Piedmont Dry Oak(-Pine) Forest,336,336,White Oak-Southern Red Oak-Shortleaf Pine-1,Hardwood-Conifer,728,IN
