Count,Acres,Parcel ID,PROTECTED,us_105vdep,us_110vdep,us_130vdep
1,0.222,09001_055822,NO,42,41,40
1,0.222,09001_063666,NO,78,78,68
1,0.222,09001_064608,NO,60,63,24
1,0.222,09001_064901,NO,59,70,24
1,0.222,09001_067481,NO,59,70,24
1,0.222,09001_067709,YES,84,84,11
1,0.222,09001_069284,NO,60,63,24
1,0.222,09001_069340,NO,59,70,24
1,0.222,09001_069393,YES,81,80,58
1,0.222,09001_072109,YES,59,70,24
1,0.222,09001_072276,NO,81,80,58
1,0.222,09001_072359,NO,33,33,40
1,0.222,09001_072442,NO,84,84,11
1,0.222,09001_104276,NO,62,75,24
1,0.222,09001_104992,NO,61,63,71
1,0.222,09001_104992,NO,81,80,58
1,0.222,09001_106382,YES,81,80,58
1,0.222,09001_106589,NO,100,100,60
1,0.222,09001_108730,NO,62,75,24
1,0.222,09001_123271,YES,81,80,58
1,0.222,09001_133669,YES,84,84,11
1,0.222,09001_135544,NO,63,66,71
1,0.222,09001_135822,NO,78,78,68
1,0.222,09001_136741,NO,81,80,58
1,0.222,09001_136789,NO,63,66,71
1,0.222,09001_137486,NO,84,84,11
1,0.222,09001_137653,NO,59,70,24
1,0.222,09001_137785,YES,60,65,71
1,0.222,09001_137803,NO,59,70,24
1,0.222,09001_137823,NO,59,70,24
1,0.222,09001_137964,YES,60,65,71
1,0.222,09001_138217,YES,42,41,40
1,0.222,09001_138250,YES,84,84,11
1,0.222,09001_138289,YES,42,41,40
1,0.222,09001_138290,YES,74,74,50
1,0.222,09001_138290,YES,100,100,60
1,0.222,09001_138294,YES,100,100,60
1,0.222,09001_138298,YES,59,70,24
1,0.222,09001_138298,YES,60,65,71
1,0.222,09001_138299,YES,81,80,58
1,0.222,09001_138331,NO,78,78,68
1,0.222,09001_138596,NO,78,78,68
1,0.222,09001_138596,NO,81,80,58
1,0.222,09001_138738,NO,59,70,24
1,0.222,09001_138823,NO,60,65,71
1,0.222,09001_138859,YES,42,41,40
1,0.222,09001_138860,NO,42,41,40
1,0.222,09001_138956,YES,81,80,58
1,0.222,09001_138965,YES,84,84,11
1,0.222,09001_138975,YES,63,66,71
1,0.222,09001_138975,YES,74,74,50
1,0.222,09001_138988,YES,59,70,24
1,0.222,09001_139007,YES,78,78,68
1,0.222,09001_139007,YES,81,80,58
1,0.222,09001_139088,YES,81,80,58
1,0.222,09001_139123,YES,81,80,58
1,0.222,09001_139135,YES,81,80,58
1,0.222,09001_139140,YES,60,65,71
1,0.222,09001_139143,YES,42,41,40
1,0.222,09001_139150,YES,81,80,58
1,0.222,09001_139159,YES,63,66,71
1,0.222,09001_139159,YES,81,80,58
1,0.222,09001_139165,YES,81,80,58
1,0.222,09001_139166,YES,59,70,24
1,0.222,09001_139167,YES,63,66,71
1,0.222,09001_139168,YES,42,41,40
1,0.222,09001_139168,YES,63,66,71
1,0.222,09001_139168,YES,78,78,68
1,0.222,09001_139168,YES,81,80,58
1,0.222,09001_139170,YES,63,66,71
1,0.222,09001_139200,YES,59,70,24
1,0.222,09001_139237,YES,59,70,24
1,0.222,09001_139237,YES,81,80,58
1,0.222,09001_139242,YES,63,66,71
1,0.222,09001_139247,YES,42,41,40
1,0.222,09001_139247,YES,60,65,71
1,0.222,09001_139250,YES,74,74,50
1,0.222,09001_139251,YES,42,41,40
1,0.222,09001_139251,YES,59,70,24
1,0.222,09001_139251,YES,84,84,11
1,0.222,09001_139255,YES,84,84,11
1,0.222,09001_139256,YES,81,80,58
1,0.222,09001_139267,YES,42,41,40
1,0.222,09001_139277,YES,42,41,40
1,0.222,09001_139316,YES,63,66,71
1,0.222,09001_139319,YES,81,80,58
1,0.222,09001_139319,YES,84,84,11
1,0.222,09001_139353,YES,81,80,58
1,0.222,09001_139378,YES,84,84,11
1,0.222,09001_139403,YES,59,70,24
1,0.222,09001_142506,YES,42,41,40
1,0.222,09001_147951,YES,42,41,40
1,0.222,09001_147958,YES,81,80,58
1,0.222,09001_152328,NO,76,76,68
1,0.222,09001_152837,YES,42,41,40
1,0.222,09001_152837,YES,81,80,58
1,0.222,09001_152840,YES,81,80,58
1,0.222,09001_152880,YES,59,70,24
1,0.222,09001_167197,NO,59,70,24
1,0.222,09001_167197,NO,81,80,58
1,0.222,09001_199876,YES,42,41,40
1,0.222,09001_200327,NO,60,65,71
1,0.222,09001_200350,NO,59,70,24
1,0.222,09001_251726,YES,60,61,18
1,0.222,09001_265492,NO,61,64,71
1,0.222,09001_265579,NO,59,70,24
1,0.222,09001_265590,YES,60,65,71
1,0.222,09001_265611,NO,58,62,24
1,0.222,09001_266411,YES,100,100,67
1,0.222,09001_266479,YES,78,78,68
1,0.222,09001_266983,YES,60,65,71
1,0.222,09001_266983,YES,81,80,58
1,0.222,09001_267027,YES,60,65,71
1,0.222,09001_267028,YES,100,100,60
1,0.222,09001_267033,YES,60,65,71
1,0.222,09001_267042,YES,42,41,40
